,Player,Age,League,Club,Position,Value,Overall,Shooting,Passing,Dribbling,Defending,Physical
1347,Luca Waldschmidt,26,Bundesliga,1.FC Köln,Attack,-4000000.0,43.79,54.8,34.35,42.27,22.9,43.76
1348,Felipe,33,Premier League,Nottingham Forest,Defender,-4000000.0,44.99,3.61,55.34,4.98,68.34,51.32
1349,Cesar Azpilicueta,32,La Liga,Atlético de Madrid,Defender,-4000000.0,69.11,43.33,65.39,51.79,75.39,83.85
1350,Matt Targett,26,Premier League,Newcastle United,Defender,-4000000.0,67.12,28.86,65.41,37.49,78.41,87.2
1351,Davy Klaassen,29,Eredivisie,Ajax Amsterdam,midfield,-4000000.0,78.47,84.37,66.49,79.57,45.88,83.46
1352,James Tarkowski,29,Premier League,Everton FC,Defender,-4000000.0,80.9,68.29,70.12,76.4,80.12,96.96
1353,Mateo Kovacic,28,Premier League,Manchester City,midfield,-4000000.0,64.55,60.83,60.71,66.73,42.36,69.92
1354,Owen Wijndal,22,Eredivisie,Ajax Amsterdam,Defender,-4000000.0,51.73,34.43,47.18,44.76,44.55,70.45
1355,Adrien Tameze,28,Serie A,Hellas Verona,midfield,-4000000.0,81.06,81.23,63.73,85.03,60.75,94.25
1356,Bertrand Traore,26,Premier League,Aston Villa,Attack,-4000000.0,21.6,28.39,20.01,19.23,11.75,18.78
1357,Marvin Friedrich,26,Bundesliga,Borussia Mönchengladbach,Defender,-4000000.0,73.59,44.43,78.86,46.06,91.86,77.59
1358,Danilo Pereira,30,Ligue 1,Paris Saint-Germain,midfield,-4000000.0,73.72,77.12,53.42,74.24,59.81,83.7
1359,Andrej Kramaric,31,Bundesliga,TSG 1899 Hoffenheim,Attack,-4000000.0,76.39,79.7,66.78,79.13,38.39,79.94
1360,Emil Forsberg,30,Bundesliga,RB Leipzig,midfield,-4000000.0,70.8,76.31,59.35,71.91,38.91,75.62
1361,Marco Reus,33,Bundesliga,Borussia Dortmund,midfield,-4000000.0,62.21,62.95,59.31,63.4,34.2,63.19
1362,Gabriel Paulista,31,La Liga,Valencia CF,Defender,-4500000.0,73.19,39.15,81.29,41.52,94.29,75.68
1363,Alfred Duncan,29,Serie A,ACF Fiorentina,midfield,-4500000.0,60.72,59.91,56.49,63.34,39.07,63.15
1364,Leonardo Bonucci,35,Serie A,Juventus FC,Defender,-4500000.0,62.86,37.37,58.12,32.54,71.12,84.82
1365,Christian Gunter,29,Bundesliga,SC Freiburg,Defender,-4500000.0,82.59,59.66,80.51,72.78,93.51,83.56
1366,Pau Torres,25,Premier League,Aston Villa,Defender,-5000000.0,77.49,62.99,71.56,69.44,81.56,87.38
1367,Philipp Max,28,Bundesliga,Eintracht Frankfurt,Defender,-5000000.0,55.21,16.69,55.51,27.12,68.51,69.71
1368,Jonathan Tah,26,Bundesliga,Bayer 04 Leverkusen,Defender,-5000000.0,72.71,61.9,61.83,65.98,79.33,83.63
1369,Youssef En-Nesyri,25,La Liga,Sevilla FC,Attack,-5000000.0,70.41,76.26,54.33,73.2,38.79,77.86
1370,Cristiano Biraghi,29,Serie A,ACF Fiorentina,Defender,-5000000.0,78.5,61.59,72.37,74.95,82.37,84.29
1371,Jose Luis Palomino,32,Serie A,Atalanta BC,Defender,-5000000.0,69.57,32.52,74.47,31.48,87.47,83.82
1372,Sergio Canales,31,La Liga,Real Betis Balompié,midfield,-5000000.0,75.97,72.84,72.56,78.25,46.3,80.22
1373,John McGinn,27,Premier League,Aston Villa,midfield,-5000000.0,78.22,75.97,67.07,82.03,63.79,87.81
1374,Matheus Cunha,23,Premier League,Wolverhampton Wanderers,Attack,-5000000.0,27.55,23.55,30.63,29.27,13.7,26.76
1375,Xaver Schlager,24,Bundesliga,RB Leipzig,midfield,-5000000.0,53.5,57.64,43.43,52.41,47.13,56.81
1376,Sergi Canos,25,Premier League,Brentford FC,Attack,-5000000.0,16.08,9.02,28.21,16.84,6.64,10.23
1377,Matteo Politano,28,Serie A,SSC Napoli,Attack,-5000000.0,68.71,61.05,73.11,73.2,40.79,67.49
1378,Kyle Walker,32,Premier League,Manchester City,Defender,-5000000.0,73.53,46.93,68.95,55.41,81.95,87.81
1379,Toni Kroos,32,La Liga,Real Madrid,midfield,-5000000.0,73.72,69.31,72.58,75.68,48.59,77.33
1380,Andrea Pinamonti,23,Serie A,US Sassuolo,Attack,-5000000.0,72.4,74.51,58.68,75.3,40.18,81.12
1381,Merih Demiral,24,Serie A,Atalanta BC,Defender,-5000000.0,77.21,55.68,75.7,55.22,85.7,91.77
1382,Manuel Locatelli,24,Serie A,Juventus FC,midfield,-5000000.0,73.38,70.4,60.04,76.13,64.16,82.83
1383,Ilaix Moriba,19,Bundesliga,RB Leipzig,midfield,-5000000.0,57.91,52.17,55.09,59.98,44.96,64.38
1384,Ryan Gravenberch,20,Bundesliga,Bayern Munich,midfield,-5000000.0,58.16,52.02,59.84,61.03,36.38,59.74
1385,Alvaro Morata,29,La Liga,Atlético de Madrid,Attack,-5000000.0,83.47,90.68,65.11,87.63,44.38,90.47
1386,Romain Faivre,24,Ligue 1,FC Lorient,midfield,-5000000.0,28.32,20.57,39.48,29.81,14.02,23.44
1387,Lucas Hernandez,26,Ligue 1,Paris Saint-Germain,Defender,-5000000.0,31.93,10.82,14.56,13.69,37.15,62.3
1388,Jeremie Boga,25,Serie A,Atalanta BC,Attack,-5000000.0,64.66,57.74,75.05,68.52,29.25,57.33
1389,Nikola Vlasic,24,Premier League,West Ham United,midfield,-5000000.0,81.37,80.4,74.92,84.17,50.01,85.98
1390,Jordan Henderson,32,Premier League,Liverpool FC,midfield,-5000000.0,80.37,76.85,71.48,84.49,50.51,88.65
1391,Jonjo Shelvey,30,Premier League,Nottingham Forest,midfield,-5000000.0,4.62,4.51,3.02,4.51,4.19,5.29
1392,Marquinhos,28,Ligue 1,Paris Saint-Germain,Defender,-5000000.0,67.59,62.47,52.94,66.35,57.92,83.61
1393,Sebastien Haller,28,Bundesliga,Borussia Dortmund,Attack,-5000000.0,50.37,57.5,45.59,51.93,23.08,46.48
1394,Paulo Dybala,28,Serie A,AS Roma,Attack,-5000000.0,66.29,63.56,70.39,68.1,34.74,63.11
1395,Mohamed Elneny,30,Premier League,Arsenal FC,midfield,-5000000.0,11.09,9.02,6.0,9.01,15.77,10.54
1396,Denis Suarez,28,La Liga,Villarreal CF,midfield,-5000000.0,44.26,38.48,46.6,46.38,32.11,45.59
1397,Leandro Paredes,28,Ligue 1,Paris Saint-Germain,midfield,-5000000.0,62.67,57.52,63.63,64.77,38.96,64.75
1398,Piotr Zielinski,28,Serie A,SSC Napoli,midfield,-5000000.0,90.77,85.35,89.69,94.9,51.47,93.12
1399,Guillermo Maripan,28,Ligue 1,AS Monaco,Defender,-5000000.0,60.49,53.36,41.64,52.24,48.59,87.78
1400,Emile Smith Rowe,22,Premier League,Arsenal FC,midfield,-5000000.0,34.51,24.91,48.09,36.77,15.96,28.27
1401,Ilkay Gundogan,31,La Liga,FC Barcelona,midfield,-5000000.0,75.25,77.26,68.06,77.53,44.11,78.15
1402,Thomas Delaney,30,La Liga,Sevilla FC,midfield,-5000000.0,14.4,11.27,13.54,13.3,16.94,13.82
1403,Raphael Guerreiro,28,Bundesliga,Bayern Munich,Defender,-5000000.0,75.44,52.92,65.71,63.72,83.21,89.1
1404,Edmond Tapsoba,23,Bundesliga,Bayer 04 Leverkusen,Defender,-5000000.0,73.41,57.89,70.89,67.41,70.89,84.43
1405,Djene,30,La Liga,Getafe CF,Defender,-5000000.0,75.08,57.75,68.48,67.72,78.48,85.62
1406,Sofiane Diop,22,Ligue 1,OGC Nice,Attack,-5000000.0,55.82,50.14,58.07,59.53,32.23,55.54
1407,Davide Calabria,25,Serie A,AC Milan,Defender,-5000000.0,72.58,45.92,75.39,53.49,75.39,86.05
1408,Joshua Kimmich,27,Bundesliga,Bayern Munich,midfield,-5000000.0,82.47,80.89,78.89,83.84,68.95,86.27
1409,Diego Demme,30,Serie A,SSC Napoli,midfield,-5000000.0,17.42,13.53,21.25,19.49,8.86,15.43
1410,Mitchel Bakker,22,Serie A,Atalanta BC,Defender,-5000000.0,77.58,56.6,72.83,59.38,85.83,92.28
1411,Gerard Deulofeu,28,Serie A,Udinese Calcio,Attack,-5000000.0,47.92,38.38,62.78,51.24,24.46,39.3
1412,Japhet Tanganga,23,Premier League,Tottenham Hotspur,Defender,-5000000.0,39.77,5.41,43.33,6.08,56.33,53.32
1413,Gian Marco Ferrari,30,Serie A,US Sassuolo,Defender,-5000000.0,82.45,63.07,83.3,66.82,96.3,83.37
1414,Hirving Lozano,27,Serie A,SSC Napoli,Attack,-5000000.0,76.24,73.4,69.54,80.8,44.29,81.22
1415,Kevin Mbabu,27,Premier League,Fulham FC,Defender,-5500000.0,44.96,9.02,45.7,16.3,58.7,59.13
1416,Portu,30,La Liga,Getafe CF,Attack,-5500000.0,77.28,74.6,65.17,82.1,51.57,87.27
1417,Jamaal Lascelles,28,Premier League,Newcastle United,Defender,-5500000.0,47.83,10.82,50.82,12.99,63.82,63.67
1418,Lucas Alario,29,Bundesliga,Eintracht Frankfurt,Attack,-5500000.0,46.8,47.84,41.16,49.51,24.09,48.69
1419,Willian Jose,30,La Liga,Real Betis Balompié,Attack,-6000000.0,61.76,64.09,48.46,64.89,36.44,69.59
1420,Divock Origi,27,Serie A,AC Milan,Attack,-6000000.0,61.33,63.05,51.05,64.11,36.61,67.11
1421,Takumi Minamino,27,Ligue 1,AS Monaco,Attack,-6000000.0,45.31,41.72,46.89,47.29,25.84,45.35
1422,Lukas Nmecha,23,Bundesliga,VfL Wolfsburg,Attack,-6000000.0,40.96,44.5,38.84,40.73,28.26,39.75
1423,Geoffrey Kondogbia,29,Ligue 1,Olympique Marseille,midfield,-6000000.0,48.11,42.83,35.92,45.74,51.98,51.88
1424,Omar Alderete,25,La Liga,Getafe CF,Defender,-6000000.0,75.45,46.18,77.7,51.15,87.7,85.24
1425,Rick Karsdorp,27,Serie A,AS Roma,Defender,-6000000.0,69.17,21.64,78.85,28.41,91.85,77.57
1426,Mauro Arambarri,26,La Liga,Getafe CF,midfield,-6000000.0,32.47,27.11,33.34,33.29,18.96,36.12
1427,Aritz Elustondo,28,La Liga,Real Sociedad,Defender,-6000000.0,76.81,43.29,79.75,50.12,92.75,84.62
1428,Pol Lirola,24,Ligue 1,Olympique Marseille,Defender,-6000000.0,51.14,60.38,34.99,28.14,34.34,74.84
1429,Reinier,20,La Liga,Real Madrid,midfield,-6000000.0,45.76,49.14,42.91,45.31,23.38,45.67
1430,Nicolo Zaniolo,23,Super Lig ,Galatasaray,midfield,-6000000.0,33.13,30.12,35.79,33.81,18.32,32.81
1431,Daley Blind,32,La Liga,Girona FC,Defender,-6000000.0,39.86,5.69,41.0,11.49,54.0,52.93
1432,Moise Kean,22,Serie A,Juventus FC,Attack,-6000000.0,66.75,70.49,56.68,68.33,35.64,71.49
1433,Kurt Zouma,27,Premier League,West Ham United,Defender,-6000000.0,72.1,48.19,71.94,49.74,84.94,81.8
1434,Joel Matip,30,Premier League,Liverpool FC,Defender,-6000000.0,66.68,31.96,70.5,29.02,83.5,80.75
1435,Dusan Tadic,33,Eredivisie,Ajax Amsterdam,Attack,-6000000.0,91.0,85.28,99.0,93.81,50.78,85.9
1436,Rafa Mir,25,La Liga,Sevilla FC,Attack,-6000000.0,58.05,64.15,44.36,59.28,32.59,64.41
1437,Lukas Klostermann,26,Bundesliga,RB Leipzig,Defender,-6000000.0,64.68,25.32,67.29,29.2,80.29,81.92
1438,David Raum,24,Bundesliga,RB Leipzig,Defender,-6000000.0,73.05,48.89,60.77,61.77,78.27,91.4
1439,Hugo Duro,22,La Liga,Valencia CF,Attack,-6000000.0,65.82,67.44,50.99,69.26,40.37,75.61
1440,Joao Pedro,29,Super Lig ,Fenerbahce,Attack,-6000000.0,31.19,29.31,27.46,32.33,23.96,35.66
1441,Dan-Axel Zagadou,23,Bundesliga,VfB Stuttgart,Defender,-6500000.0,64.79,29.05,61.96,34.62,74.96,87.63
1442,Paulinho,29,Primeira Liga,Sporting CP,Attack,-6500000.0,53.06,54.82,46.9,54.81,35.29,55.71
1443,Marcao,26,La Liga,Sevilla FC,Defender,-6500000.0,45.71,7.21,51.96,8.11,64.96,57.82
1444,Marcos Alonso,31,La Liga,FC Barcelona,Defender,-7000000.0,74.27,48.54,77.4,49.03,90.4,80.24
1445,Erik Lamela,30,La Liga,Sevilla FC,Attack,-7000000.0,77.4,78.24,67.69,80.74,44.84,82.94
1446,Kieran Tierney,25,Premier League,Arsenal FC,Defender,-7000000.0,80.87,46.97,83.15,56.83,96.15,87.37
1447,Scott McTominay,25,Premier League,Manchester United,midfield,-7000000.0,55.03,56.39,45.83,56.01,44.5,61.91
1448,Nelson Semedo,28,Premier League,Wolverhampton Wanderers,Defender,-7000000.0,82.39,63.12,76.02,73.66,86.02,93.88
1449,Amine Gouiri,22,Ligue 1,Stade Rennais FC,Attack,-7000000.0,10.86,5.43,20.82,11.92,4.45,5.29
1450,Iker Muniain,29,La Liga,Athletic Bilbao,midfield,-7000000.0,75.66,65.73,81.54,80.24,39.29,75.13
1451,Nicolas Pepe,27,Premier League,Arsenal FC,Attack,-7000000.0,46.11,44.9,45.76,48.35,34.79,45.45
1452,Ridle Baku,24,Bundesliga,VfL Wolfsburg,Defender,-7000000.0,80.94,65.85,75.26,71.08,92.76,84.65
1453,Ludovic Ajorque,28,Bundesliga,1.FSV Mainz 05,Attack,-7000000.0,43.23,48.22,39.56,42.35,21.1,42.78
1454,Karl Toko Ekambi,29,Ligue 1,Olympique Lyon,Attack,-7000000.0,47.56,47.86,46.61,48.97,26.04,46.8
1455,Hans Hateboer,28,Serie A,Atalanta BC,Defender,-7000000.0,69.02,32.53,68.94,35.72,81.94,89.48
1456,Yussuf Poulsen,28,Bundesliga,RB Leipzig,Attack,-7000000.0,47.23,48.99,44.31,48.99,24.89,46.61
1457,Myron Boadu,21,Ligue 1,AS Monaco,Attack,-7000000.0,33.86,48.01,29.49,29.56,15.28,28.36
1458,Alassane Plea,29,Bundesliga,Borussia Mönchengladbach,Attack,-7000000.0,69.19,66.03,63.81,73.5,39.03,73.41
1459,Alvaro Odriozola,26,La Liga,Real Madrid,Defender,-7000000.0,39.8,3.61,39.07,17.95,52.07,50.12
1460,Amadou Haidara,24,Bundesliga,RB Leipzig,midfield,-7000000.0,71.62,73.69,59.58,74.11,45.12,79.08
1461,Ben Godfrey,24,Premier League,Everton FC,Defender,-7000000.0,62.64,21.64,66.77,25.83,79.77,78.2
1462,Weston McKennie,23,Serie A,Juventus FC,midfield,-7000000.0,35.59,38.74,31.39,35.58,28.59,36.65
1463,Berat Djimsiti,29,Serie A,Atalanta BC,Defender,-7000000.0,66.06,41.48,62.53,48.18,72.53,80.99
1464,Musa Barrow,23,Serie A,Bologna FC 1909,Attack,-7000000.0,74.98,73.5,66.87,79.12,44.94,80.43
1465,Jonathan Burkardt,22,Bundesliga,1.FSV Mainz 05,Attack,-7000000.0,30.8,26.19,37.03,32.49,14.75,27.5
1466,Manuel Lazzari,28,Serie A,SS Lazio,Defender,-7500000.0,72.39,48.77,64.52,58.22,74.52,92.29
1467,Ander Herrera,32,La Liga,Athletic Bilbao,midfield,-7500000.0,42.02,36.25,43.7,43.07,26.76,45.06
1468,Nemanja Maksimovic,27,La Liga,Getafe CF,midfield,-8000000.0,64.37,63.46,50.12,66.14,54.02,73.87
1469,Abdou Diallo,26,Ligue 1,Paris Saint-Germain,Defender,-8000000.0,30.33,23.22,17.21,16.08,13.25,64.78
1470,Tyrone Mings,29,Premier League,Aston Villa,Defender,-8000000.0,84.78,67.1,83.48,70.57,96.48,88.57
1471,Hugo Ekitike,20,Ligue 1,Paris Saint-Germain,Attack,-8000000.0,59.07,59.79,51.84,62.81,32.66,61.82
1472,Zeki Celik,25,Serie A,AS Roma,Defender,-8000000.0,70.13,41.53,66.9,52.27,76.9,84.45
1473,Florian Neuhaus,25,Bundesliga,Borussia Mönchengladbach,midfield,-8000000.0,54.82,52.15,52.11,57.14,32.95,57.88
1474,Tanguy Ndombele,25,Premier League,Tottenham Hotspur,midfield,-8000000.0,68.09,68.62,57.73,70.51,39.45,75.49
1475,Sergino Dest,21,La Liga,FC Barcelona,Defender,-8000000.0,53.93,12.76,58.58,21.5,71.58,64.07
1476,Luka Jovic,24,Serie A,ACF Fiorentina,Attack,-8000000.0,72.48,74.81,61.68,75.99,37.71,77.45
1477,Giovani Lo Celso,26,Premier League,Tottenham Hotspur,midfield,-8000000.0,57.58,51.79,63.57,59.17,41.63,55.79
1478,Marash Kumbulla,22,Serie A,AS Roma,Defender,-8000000.0,49.62,10.82,53.29,13.55,66.29,65.34
1479,Antonio Rudiger,29,La Liga,Real Madrid,Defender,-8000000.0,70.82,59.96,62.09,66.35,72.09,82.76
1480,Arkadiusz Milik,28,Serie A,Juventus FC,Attack,-8000000.0,63.33,68.92,50.71,63.85,33.3,69.85
1481,Marcos Acuna,30,La Liga,Sevilla FC,Defender,-8000000.0,79.07,58.47,79.93,65.87,89.93,80.55
1482,Thorgan Hazard,29,Bundesliga,Borussia Dortmund,Attack,-8000000.0,41.79,29.6,47.23,39.22,45.54,35.16
1483,Danny Ings,30,Premier League,West Ham United,Attack,-8000000.0,43.35,48.86,35.63,44.15,22.47,44.75
1484,Gianluca Scamacca,23,Premier League,West Ham United,Attack,-8000000.0,39.24,40.53,36.48,39.61,25.41,40.33
1485,Eric Garcia,21,La Liga,FC Barcelona,Defender,-8000000.0,71.6,47.29,72.52,47.91,85.52,80.43
1486,Yusuf Yazici,25,Ligue 1,LOSC Lille,midfield,-8000000.0,21.0,18.54,38.63,19.14,5.44,7.68
1487,Dele Alli,26,Premier League,Everton FC,midfield,-8000000.0,2.49,2.25,1.51,2.25,2.9,2.56
1488,Youcef Atal,26,Ligue 1,OGC Nice,Defender,-8000000.0,62.76,34.37,49.82,44.23,65.36,91.63
1489,Mario Pasalic,27,Serie A,Atalanta BC,midfield,-8000000.0,74.91,78.92,63.31,76.81,40.94,80.61
1490,Charles De Ketelaere,21,Serie A,AC Milan,midfield,-8000000.0,75.24,70.02,71.03,79.41,46.51,80.5
1491,Kerem Demirbay,29,Bundesliga,Bayer 04 Leverkusen,midfield,-9000000.0,61.02,61.89,56.05,62.17,48.46,63.98
1492,Koke,30,La Liga,Atlético de Madrid,midfield,-9000000.0,74.82,72.18,64.56,78.27,55.63,84.27
1493,Ihlas Bebou,28,Bundesliga,TSG 1899 Hoffenheim,Attack,-9000000.0,49.47,53.7,44.2,52.25,40.93,47.74
1494,Mason Holgate,25,Premier League,Everton FC,Defender,-9000000.0,50.9,12.62,51.16,19.08,64.16,69.21
1495,Jeff Reine-Adelaide,24,Ligue 1,Olympique Lyon,midfield,-9000000.0,16.62,11.27,23.76,17.6,11.87,13.22
1496,Florian Grillitsch,26,Bundesliga,TSG 1899 Hoffenheim,midfield,-9500000.0,27.27,20.29,31.86,27.08,25.03,25.09
1497,Serge Gnabry,27,Bundesliga,Bayern Munich,Attack,-10000000.0,83.74,85.85,74.41,88.54,50.09,86.15
1498,Roman Yaremchuk,26,Jupiler Pro League,Club Brugge KV,Attack,-10000000.0,19.16,2.25,47.51,23.67,2.9,2.56
1499,Abdoulaye Doucoure,29,Premier League,Everton FC,midfield,-10000000.0,62.01,67.94,53.51,61.12,37.98,65.47
1500,Renan Lodi,24,La Liga,Atlético de Madrid,Defender,-10000000.0,76.25,48.74,72.38,57.64,82.38,92.61
1501,Sasa Kalajdzic,25,Premier League,Wolverhampton Wanderers,Attack,-10000000.0,16.0,4.97,30.86,15.72,9.62,7.79
1502,Tammy Abraham,24,Serie A,AS Roma,Attack,-10000000.0,87.86,91.84,72.02,92.32,45.92,95.27
1503,Eric Dier,28,Premier League,Tottenham Hotspur,Defender,-10000000.0,81.55,62.91,81.58,66.93,94.58,83.12
1504,Josip Brekalo,24,Serie A,ACF Fiorentina,Attack,-10000000.0,16.24,11.5,23.07,17.42,7.84,12.97
1505,Antonin Barak,27,Serie A,ACF Fiorentina,midfield,-10000000.0,68.26,68.99,57.49,71.07,39.5,75.49
1506,Lucas Digne,29,Premier League,Aston Villa,Defender,-10000000.0,72.03,54.25,64.26,58.25,74.26,91.34
1507,Georginio Wijnaldum,31,Ligue 1,Paris Saint-Germain,midfield,-10000000.0,35.38,35.32,34.77,38.01,17.28,33.41
1508,Leonardo Spinazzola,29,Serie A,AS Roma,Defender,-10000000.0,74.82,49.49,71.49,58.09,84.49,85.21
1509,Tomas Soucek,27,Premier League,West Ham United,midfield,-10000000.0,80.29,82.65,63.3,82.87,61.66,92.33
1510,Wissam Ben Yedder,31,Ligue 1,AS Monaco,Attack,-10000000.0,76.1,84.8,60.86,77.58,40.07,81.16
1511,Stefan Savic,31,La Liga,Atlético de Madrid,Defender,-10000000.0,70.48,37.92,74.52,43.75,84.52,79.15
1512,Sardar Azmoun,27,Bundesliga,Bayer 04 Leverkusen,Attack,-10000000.0,56.77,57.95,52.39,58.94,27.95,57.78
1513,Kasper Dolberg,24,Jupiler Pro League,RSC Anderlecht,Attack,-10000000.0,31.75,34.72,28.69,31.69,25.65,31.88
1514,Manu Trigueros,30,La Liga,Villarreal CF,midfield,-10000000.0,51.98,49.75,45.1,54.36,35.37,58.72
1515,Philippe Coutinho,30,Premier League,Aston Villa,Attack,-10000000.0,47.78,46.18,44.88,49.67,37.05,50.38
1516,Antoine Griezmann,31,La Liga,Atlético de Madrid,Attack,-10000000.0,94.47,93.79,88.31,99.0,53.43,96.77
1517,Marcos Llorente,27,La Liga,Atlético de Madrid,midfield,-10000000.0,53.71,50.11,52.65,54.87,47.76,57.2
1518,Diogo Jota,25,Premier League,Liverpool FC,Attack,-10000000.0,54.68,59.41,48.06,55.92,34.95,55.33
1519,Thomas Muller,32,Bundesliga,Bayern Munich,Attack,-10000000.0,69.09,68.41,68.87,71.63,36.54,67.44
1520,Gelson Martins,27,Ligue 1,AS Monaco,Attack,-10000000.0,30.37,22.92,39.42,32.48,19.19,26.67
1521,Marco Verratti,29,Ligue 1,Paris Saint-Germain,midfield,-10000000.0,69.35,63.31,64.45,71.97,61.92,77.68
1522,Timo Werner,26,Bundesliga,RB Leipzig,Attack,-10000000.0,64.28,68.77,54.11,66.98,34.77,67.27
1523,Michael Keane,29,Premier League,Everton FC,Defender,-10000000.0,59.43,23.3,63.11,24.62,76.11,73.88
1524,Moussa Diaby,23,Bundesliga,Bayer 04 Leverkusen,Attack,-10000000.0,80.1,80.22,70.91,86.29,44.3,82.97
1525,Fikayo Tomori,24,Serie A,AC Milan,Defender,-10000000.0,75.69,62.37,70.73,66.59,80.73,84.71
1526,Luis Alberto,29,Serie A,SS Lazio,midfield,-10000000.0,85.08,83.7,79.69,87.71,52.01,89.23
1527,Lorenzo Pellegrini,26,Serie A,AS Roma,midfield,-10000000.0,78.6,72.98,77.69,81.78,53.69,81.95
1528,Callum Hudson-Odoi,21,Premier League,Chelsea FC,Attack,-10000000.0,36.48,29.41,43.84,39.15,20.42,33.52
1529,Alex Telles,29,Premier League,Manchester United,Defender,-10500000.0,79.96,46.96,79.66,58.88,92.66,88.63
1530,Ante Rebic,28,Serie A,AC Milan,Attack,-11000000.0,56.02,56.51,52.07,57.58,29.37,57.93
1531,Joaquin Correa,27,Serie A,Inter Milan,Attack,-11000000.0,63.26,64.3,58.6,65.57,33.06,64.57
1532,Rafael Borre,26,Bundesliga,Eintracht Frankfurt,Attack,-11000000.0,73.34,72.51,62.04,77.64,39.68,81.18
1533,Pablo Sarabia,30,Premier League,Wolverhampton Wanderers,Attack,-11000000.0,34.82,30.48,40.7,35.18,24.81,32.91
1534,Borna Sosa,24,Bundesliga,VfB Stuttgart,Defender,-11000000.0,73.64,49.19,66.5,60.14,84.0,83.92
1535,Hakim Ziyech,29,Premier League,Chelsea FC,Attack,-12000000.0,46.61,38.55,53.32,49.53,26.67,45.02
1536,Remo Freuler,30,Premier League,Nottingham Forest,midfield,-12000000.0,61.12,60.92,48.05,63.54,48.66,71.35
1537,Ciro Immobile,32,Serie A,SS Lazio,Attack,-12000000.0,73.44,76.32,62.73,77.05,43.02,77.67
1538,Houssem Aouar,24,Serie A,AS Roma,midfield,-12000000.0,39.7,38.11,39.59,41.48,22.8,39.64
1539,Presnel Kimpembe,26,Ligue 1,Paris Saint-Germain,Defender,-12000000.0,38.35,18.04,17.08,20.78,40.87,73.71
1540,Julian Draxler,28,Ligue 1,Paris Saint-Germain,Attack,-12000000.0,30.95,25.64,42.71,31.94,17.21,23.49
1541,Andrea Belotti,28,Serie A,AS Roma,Attack,-12000000.0,68.8,68.03,57.01,73.05,40.44,77.13
1542,Raul Jimenez,31,Premier League,Wolverhampton Wanderers,Attack,-12000000.0,34.58,32.39,32.8,36.79,23.17,36.34
1543,Julian Weigl,26,Bundesliga,Borussia Mönchengladbach,midfield,-12000000.0,54.09,49.85,39.72,52.16,54.64,59.7
1544,Lucas Ocampos,28,La Liga,Sevilla FC,Attack,-13000000.0,45.28,44.17,40.78,46.7,28.65,49.49
1545,Renato Sanches,24,Ligue 1,Paris Saint-Germain,midfield,-13000000.0,54.51,57.35,48.45,55.29,31.45,56.93
1546,Naby Keita,27,Bundesliga,SV Werder Bremen,midfield,-13000000.0,23.35,15.78,34.63,23.96,11.78,19.04
1547,Raphael Varane,29,Premier League,Manchester United,Defender,-13000000.0,70.54,41.67,70.35,48.25,83.35,80.21
1548,Leander Dendoncker,27,Premier League,Aston Villa,midfield,-13000000.0,14.76,7.45,15.65,10.51,22.26,10.61
1549,Davinson Sanchez,26,Premier League,Tottenham Hotspur,Defender,-13000000.0,76.21,30.78,83.01,35.54,96.01,90.29
1550,Ruslan Malinovskyi,29,Ligue 1,Olympique Marseille,midfield,-13000000.0,41.07,34.9,49.6,42.34,25.22,37.44
1551,Robin Gosens,28,Serie A,Inter Milan,midfield,-13000000.0,75.34,76.52,66.56,77.59,51.8,80.69
1552,Joan Jordan,28,La Liga,Sevilla FC,midfield,-13000000.0,52.03,49.88,44.29,53.69,41.79,60.27
1553,Kevin Volland,30,Ligue 1,AS Monaco,Attack,-14000000.0,43.09,47.42,39.92,43.39,22.11,41.62
1554,Kai Havertz,23,Premier League,Arsenal FC,midfield,-15000000.0,79.77,83.3,65.11,82.1,46.57,88.57
1555,Dusan Vlahovic,22,Serie A,Juventus FC,Attack,-15000000.0,62.64,67.45,51.23,64.81,35.1,67.09
1556,David Alaba,30,La Liga,Real Madrid,Defender,-15000000.0,71.74,42.92,74.2,47.8,87.2,77.74
1557,Neymar,30,Ligue 1,Paris Saint-Germain,Attack,-15000000.0,61.2,62.77,69.8,59.71,34.25,52.54
1558,Jorginho,30,Premier League,Arsenal FC,midfield,-15000000.0,44.92,39.05,38.87,43.28,50.18,47.17
1559,Joao Cancelo,28,Premier League,Manchester City,Defender,-15000000.0,67.56,34.27,64.42,40.65,74.42,90.74
1560,Yannick Carrasco,28,La Liga,Atlético de Madrid,Attack,-15000000.0,83.39,82.93,73.55,88.6,55.06,88.5
1561,Robert Lewandowski,33,La Liga,FC Barcelona,Attack,-15000000.0,81.31,88.15,67.05,83.74,45.48,86.29
1562,Dominic Calvert-Lewin,25,Premier League,Everton FC,Attack,-15000000.0,39.96,38.9,35.17,43.69,21.33,42.08
1563,Marco Asensio,26,Ligue 1,Paris Saint-Germain,Attack,-15000000.0,78.19,78.08,74.59,82.6,42.13,77.47
1564,Trent Alexander-Arnold,23,Premier League,Liverpool FC,Defender,-15000000.0,80.97,67.44,73.08,82.9,73.08,94.81
1565,Mason Mount,23,Premier League,Manchester United,midfield,-15000000.0,58.5,57.48,55.13,60.31,43.53,61.07
